2026-01-31 15:47:44,029 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 3.1948089599609375e-05, "timestamp": "2026-01-31 15:47:44.029450", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:47:44,029 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00030040740966796875, "timestamp": "2026-01-31 15:47:44.029718", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:47:44,029 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.0004601478576660156, "timestamp": "2026-01-31 15:47:44.029874", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:47:44,030 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 6.198883056640625e-06, "timestamp": "2026-01-31 15:47:44.030207", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:47:44,030 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00024580955505371094, "timestamp": "2026-01-31 15:47:44.030447", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:47:44,030 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.00038361549377441406, "timestamp": "2026-01-31 15:47:44.030582", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:47:44,030 | triagem_metricas | INFO | {"nome": "tempo_espera", "valor": 0.304773, "timestamp": "2026-01-31 15:47:44.030806", "categoria": "atendimento", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5}}
2026-01-31 15:47:44,031 | triagem_metricas | INFO | {"nome": "tempo_atender_proximo", "valor": 0.0008230209350585938, "timestamp": "2026-01-31 15:47:44.031020", "categoria": "triagem", "detalhes": {"funcao": "atender_proximo", "sucesso": true}}
2026-01-31 15:47:44,031 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 6.67572021484375e-06, "timestamp": "2026-01-31 15:47:44.031470", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:47:44,031 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00025343894958496094, "timestamp": "2026-01-31 15:47:44.031716", "categoria": "performance", "detalhes": {"tamanho_fila": 2}}
2026-01-31 15:47:44,031 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.00037670135498046875, "timestamp": "2026-01-31 15:47:44.031836", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:48:06,221 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 1, "timestamp": "2026-01-31 15:48:06.221922", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:48:06,222 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 9.441375732421875e-05, "timestamp": "2026-01-31 15:48:06.222015", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:48:06,322 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 2, "timestamp": "2026-01-31 15:48:06.322393", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:48:06,323 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.0007710456848144531, "timestamp": "2026-01-31 15:48:06.323166", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:48:06,524 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 3, "timestamp": "2026-01-31 15:48:06.524632", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:48:06,525 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.0004801750183105469, "timestamp": "2026-01-31 15:48:06.525105", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:48:06,526 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 5.507469177246094e-05, "timestamp": "2026-01-31 15:48:06.525847", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:48:06,526 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.000415802001953125, "timestamp": "2026-01-31 15:48:06.526205", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:48:06,526 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.0006034374237060547, "timestamp": "2026-01-31 15:48:06.526387", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:48:06,526 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 5.9604644775390625e-06, "timestamp": "2026-01-31 15:48:06.526740", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:48:06,527 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.0002617835998535156, "timestamp": "2026-01-31 15:48:06.526996", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:48:06,527 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.0004398822784423828, "timestamp": "2026-01-31 15:48:06.527172", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:48:06,527 | triagem_metricas | INFO | {"nome": "tempo_espera", "valor": 0.305536, "timestamp": "2026-01-31 15:48:06.527449", "categoria": "atendimento", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5}}
2026-01-31 15:48:06,527 | triagem_metricas | INFO | {"nome": "tempo_atender_proximo", "valor": 0.0009453296661376953, "timestamp": "2026-01-31 15:48:06.527675", "categoria": "triagem", "detalhes": {"funcao": "atender_proximo", "sucesso": true}}
2026-01-31 15:48:06,528 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 5.245208740234375e-06, "timestamp": "2026-01-31 15:48:06.527908", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:48:06,528 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.0002193450927734375, "timestamp": "2026-01-31 15:48:06.528122", "categoria": "performance", "detalhes": {"tamanho_fila": 2}}
2026-01-31 15:48:06,528 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.0003662109375, "timestamp": "2026-01-31 15:48:06.528267", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:49:11,731 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 1, "timestamp": "2026-01-31 15:49:11.731317", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:49:11,731 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.00010776519775390625, "timestamp": "2026-01-31 15:49:11.731423", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:49:11,831 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 2, "timestamp": "2026-01-31 15:49:11.831786", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:49:11,832 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.0004444122314453125, "timestamp": "2026-01-31 15:49:11.832220", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
